epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.1456,1.35091,2.92347,1.21865,0.00935,0.88582,0.29992,0.1723,1.25443,3.16716,1.05178,0.00027151,0.00027151,0.00027151
2,206.873,1.35769,1.40836,1.19188,0.00886,0.85167,0.42696,0.22164,1.25007,3.16931,1.06462,0.000546275,0.000546275,0.000546275
3,279.043,1.33051,1.10431,1.21432,0.01045,0.96206,0.84057,0.52406,1.26052,2.79668,1.15533,0.000809723,0.000809723,0.000809723
4,427.203,1.33446,1.0415,1.20151,0.99771,0.21639,0.91857,0.57616,1.26604,2.41101,1.15179,0.00106185,0.00106185,0.00106185
5,581.269,1.30877,0.97158,1.19903,0.97403,0.8729,0.97617,0.60674,1.27979,1.64681,1.18908,0.00130266,0.00130266,0.00130266
6,712.24,1.30815,0.93551,1.20074,0.96097,0.96721,0.98263,0.59301,1.312,1.44004,1.21901,0.00128753,0.00128753,0.00128753
7,933.503,1.3073,0.89796,1.18597,0.96654,0.97468,0.9867,0.62716,1.24498,0.91868,1.18507,0.00125923,0.00125923,0.00125923
8,1070.57,1.3079,0.89082,1.19346,0.93476,0.95596,0.96902,0.60201,1.28019,0.86172,1.223,0.00123094,0.00123094,0.00123094
9,1259.33,1.26183,0.83752,1.16526,0.93915,0.9704,0.96896,0.62566,1.21676,0.84379,1.1788,0.00120265,0.00120265,0.00120265
10,1403.07,1.24093,0.82229,1.18362,0.97607,0.96795,0.98249,0.63791,1.20401,0.77737,1.18437,0.00117435,0.00117435,0.00117435
11,1549.97,1.23655,0.79981,1.14821,0.95164,0.98648,0.98892,0.6086,1.25851,0.73029,1.2079,0.00114606,0.00114606,0.00114606
12,1717.07,1.21087,0.74873,1.14198,0.96384,0.98689,0.98523,0.65428,1.20186,0.68339,1.13715,0.00111776,0.00111776,0.00111776
13,1907.34,1.23408,0.76404,1.16677,0.97007,0.98589,0.98967,0.64502,1.2377,0.68552,1.14596,0.00108947,0.00108947,0.00108947
14,2077.09,1.20354,0.73301,1.13208,0.97087,0.98689,0.98578,0.62285,1.29015,0.64661,1.15847,0.00106118,0.00106118,0.00106118
15,2798.06,1.22691,0.71305,1.15492,0.97209,0.98755,0.98978,0.67626,1.13695,0.64132,1.10385,0.00103288,0.00103288,0.00103288
16,3057.59,1.18638,0.69395,1.12138,0.96486,0.98012,0.98167,0.59467,1.29881,0.66356,1.23757,0.00100459,0.00100459,0.00100459
17,3308.55,1.18649,0.66866,1.15647,0.97824,0.98966,0.9903,0.65027,1.18841,0.58876,1.15204,0.000976293,0.000976293,0.000976293
18,3500.39,1.17239,0.6598,1.11572,0.97396,0.99281,0.9901,0.67197,1.13684,0.58961,1.11689,0.000947999,0.000947999,0.000947999
19,3807.24,1.18729,0.67799,1.13819,0.97394,0.99176,0.98814,0.68746,1.1148,0.563,1.1114,0.000919704,0.000919704,0.000919704
20,4066.45,1.1488,0.65257,1.1105,0.97651,0.99404,0.99151,0.66299,1.17284,0.59158,1.14586,0.00089141,0.00089141,0.00089141
21,4565.45,1.15717,0.62314,1.12411,0.9766,0.99165,0.98788,0.64033,1.23284,0.57584,1.14274,0.000863116,0.000863116,0.000863116
22,4889.13,1.1446,0.63413,1.11706,0.97703,0.98663,0.98871,0.63657,1.25181,0.6138,1.15043,0.000834822,0.000834822,0.000834822
23,5307.4,1.16192,0.63332,1.11616,0.98019,0.99494,0.99252,0.6865,1.0975,0.5307,1.10007,0.000806528,0.000806528,0.000806528
24,5651.91,1.11915,0.60413,1.10736,0.97914,0.98971,0.98917,0.69033,1.10259,0.56876,1.10151,0.000778233,0.000778233,0.000778233
25,6050.23,1.11026,0.60481,1.10468,0.98091,0.99677,0.9887,0.69342,1.09632,0.51107,1.10027,0.000749939,0.000749939,0.000749939
26,6331.44,1.08447,0.58415,1.08506,0.98305,0.99651,0.98934,0.70304,1.07137,0.50165,1.0845,0.000721645,0.000721645,0.000721645
27,6641.42,1.09404,0.59886,1.10302,0.98295,0.99134,0.99199,0.69887,1.08215,0.5042,1.08404,0.000693351,0.000693351,0.000693351
28,6922.96,1.07753,0.57006,1.08531,0.97926,0.98767,0.99066,0.71574,1.02721,0.48396,1.06456,0.000665057,0.000665057,0.000665057
29,7218.87,1.08367,0.56784,1.07865,0.98087,0.99191,0.99184,0.72083,1.03016,0.48398,1.06318,0.000636762,0.000636762,0.000636762
30,7475.77,1.05253,0.55361,1.07136,0.98847,0.9915,0.99301,0.72858,1.00613,0.46755,1.04786,0.000608468,0.000608468,0.000608468
31,7825.39,1.06748,0.5577,1.07365,0.9808,0.99724,0.9938,0.71025,1.02594,0.46957,1.05964,0.000580174,0.000580174,0.000580174
32,8127.24,1.03537,0.54453,1.06602,0.9852,0.99874,0.9943,0.72844,1.00247,0.44642,1.05134,0.00055188,0.00055188,0.00055188
33,8539.13,1.00596,0.53082,1.04143,0.98176,0.99535,0.99479,0.72395,0.98776,0.45156,1.04216,0.000523586,0.000523586,0.000523586
34,8881.2,1.0483,0.54697,1.05746,0.98073,0.99759,0.99457,0.74893,0.94882,0.44791,1.02755,0.000495291,0.000495291,0.000495291
35,9133.66,1.00406,0.52543,1.04375,0.98475,0.99366,0.99431,0.74861,0.93797,0.42506,1.02492,0.000466997,0.000466997,0.000466997
36,9406.13,1.00814,0.51879,1.04533,0.98594,0.9961,0.9948,0.75459,0.93062,0.43022,1.01927,0.000438703,0.000438703,0.000438703
37,9834.62,0.99094,0.51529,1.05747,0.98392,0.99685,0.99408,0.72472,1.002,0.42619,1.04894,0.000410409,0.000410409,0.000410409
38,10239.9,1.00317,0.51928,1.04524,0.98759,0.99967,0.99428,0.75627,0.93477,0.41361,1.02424,0.000382115,0.000382115,0.000382115
39,10621.9,0.97729,0.50843,1.03859,0.99049,0.99754,0.99479,0.74996,0.92043,0.40293,1.02491,0.00035382,0.00035382,0.00035382
40,10958.1,0.96164,0.49375,1.02635,0.99352,0.8916,0.90793,0.70991,0.86777,0.39345,0.9971,0.000325526,0.000325526,0.000325526
41,11182.7,0.96165,0.52854,1.04157,0.99482,0.99152,0.99459,0.76255,0.9065,0.43408,1.00201,0.000297232,0.000297232,0.000297232
42,11353.4,0.94809,0.51172,1.03785,0.99138,0.9961,0.99478,0.77031,0.86455,0.40206,0.9964,0.000268938,0.000268938,0.000268938
